ホテル・旅館名,住所・エリア名,最低価格,レビュー評価,詳細リンク
"BELLUSTAR TOKYO, A Pan Pacific Hotel",東京都・新宿,"2名税込88,514円〜",評価なし,https://www.ikyu.com/00003000/?discsort=1&lc=1&ppc=2&rc=1&st=1
inumo 芝公園 by Villa Fontaine,inumo 芝公園 by Villa Fontaine,"2名税込22,898円〜",評価なし,https://www.ikyu.com/00082459/?discsort=1&lc=1&ppc=2&rc=1&st=1
パークホテル東京,東京都・汐留,"2名税込30,400円〜",東京・汐留の高層階ホテル。全室26階以上に位置し、都心の景色を一望できます。汐留駅直結、新橋駅徒歩7分、お台場、銀座、成田・羽田空港などへのアクセス抜群。大きな窓から美しい景色を眺めて寛げるラウンジや、高さ30メートルの開放感あふれる宿泊者専用ラウンジ、季節の食を提供するレストラン、スパなどを備えます。地上から隔絶された静かな空間をアートが彩ります。日本の四季を表す展示や、国内外アーティストの作品を飾る９フロアの展示など、計400点以上の作品はホテルの落ち着いた空気に寄り添い、美術館のような雰囲気を作り出します。高層階のホテルとアートの調和が生み出す静謐な非日常空間で、ゆっくり流れる時間をご堪能ください。,https://www.ikyu.com/00000665/?discsort=1&lc=1&ppc=2&rc=1&st=1
浅草ビューホテルアネックス六区,東京都・台東区,"2名税込28,424円〜",評価なし,https://www.ikyu.com/00002811/?discsort=1&lc=1&ppc=2&rc=1&st=1
第一ホテル両国,東京都・両国,"2名税込11,875円〜",評価なし,https://www.ikyu.com/00000184/?discsort=1&lc=1&ppc=2&rc=1&st=1
JR東日本ホテルメッツ プレミア 東京ベイ新木場,JR東日本ホテルメッツ プレミア 東京ベイ新木場,"2名税込9,702円〜",評価なし,https://www.ikyu.com/00081807/?discsort=1&lc=1&ppc=2&rc=1&st=1
ストリングスホテル東京インターコンチネンタル by IHG,東京都・品川・港南口より徒歩1分,"ポイント8%（4,032円分）獲得",品川の上空に壮大な吹抜けと眺望豊かな客室を持つストリングスホテル東京インターコンチネンタルは、東京の玄関口・品川駅に直結しており、東京の魅力を存分に楽しめる洗練された旅の拠点。新幹線を利用した旅行にも便利なロケーションにあります。大きな窓を配した客室は、モダンでありながら温かみを感じる空間。一日の疲れをそっと癒すシモンズ社製マットレスをご用意しています。ワンランク上の贅沢を味わいたい方は、クラブインターコンチネンタルを。26階の専用ラウンジでは、大都会のスカイビューと溶け合う特等席をご用意し、ご朝食やアフタヌーンティー、イブニングカクテルをはじめ、ゲスト一人ひとりのシーンに応じた、きめ細やかでパーソナルなサービスをお約束します。音を奏でるようなホテルステイを心ゆくまでご堪能ください。,https://www.ikyu.com/00000620/?discsort=1&lc=1&ppc=2&rc=1&st=1
アパホテル〈上野駅前〉,アパホテル〈上野駅前〉,"2名税込8,190円〜",評価なし,https://www.ikyu.com/00082272/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルグランドアーク半蔵門（運営 帝国ホテルグループ）,東京都・半蔵門駅徒歩約2分,"2名税込23,400円〜",皇居半蔵門の前、国立劇場に隣接するホテルグランドアーク半蔵門。皇居のお堀、国会議事堂、東京タワーを一望できる客室からの美しい眺望が自慢です。また、東京駅から車で10分、霞ヶ関や永田町までのアクセスも便利で東京出張・観光の拠点として最適です。帝国ホテルグループが運営を担当しており、上質なホスピタリティでおもてなしいたします。,https://www.ikyu.com/00001550/?discsort=1&lc=1&ppc=2&rc=1&st=1
東京ベイ有明ワシントンホテル,東京ベイ有明ワシントンホテル,"2名税込10,030円〜",東京ベイ有明ワシントンホテルは、新交通ゆりかもめ「有明駅」・「東京ビッグサイト駅」、りんかい線「国際展示場駅」より徒歩3分のところに位置し、お台場・有明エリア内のホテルの中でも東京ビッグサイト（東京国際展示場）に1番近いホテルです。イベント関連でのご宿泊、その他出張、テレワークなど、様々なビジネスシーンに寄り添い、利便性と安らぎの時間をご提供いたします。また、東京ディズニーリゾート®グッドネイバーホテルとして、両パークへの送迎シャトルバスが毎日往復運行しており、ご宿泊の方は、事前予約にて無料でご乗車いただけます。その他、ホテル周辺には、有明ガーデンや豊洲市場、アクアシティお台場、レインボーブリッジ、Zepp DiverCityなど、1日では遊びきれない話題のスポットが豊富で、観光やレジャー、ショッピングの拠点としてのご利用にも最適です。,https://www.ikyu.com/00080290/?discsort=1&lc=1&ppc=2&rc=1&st=1
ALFIT HOTEL & BAR AKASAKA,ALFIT HOTEL & BAR AKASAKA,「ALL FIT FOR YOU」〜ゲストの様々な利用シーンにフィットする空間と時間を提供する〜2023年11月1日グランドオープン、客室は約14.5～45.0平米の全52室。コンパクトなスペースを有効活用した居心地の良い客室から、ご友人やパートナーとゆったりとくつろぐことができる広々とした客室まで、ご利用シーンやニーズに合わせてお選びいだけます。コミュニケーションの取りやすい円形スタンディングバーを中央に設置し、看板商品であるイタリアのスパークリングワイン、プロセッコ「ミオネット」のイメージカラーであるオレンジと黒で落ち着きと活気を演出しています。定番ハイボール、ビール（カールスバーグ）や軽食なども取りそろえています。,評価なし,https://www.ikyu.com/00082619/?discsort=1&lc=1&ppc=2&rc=1&st=1
銀座キャピタルホテル萌木（はとバス直営）,銀座キャピタルホテル萌木（はとバス直営）,"2名税込11,050円〜",評価なし,https://www.ikyu.com/00081680/?discsort=1&lc=1&ppc=2&rc=1&st=1
東急ステイ築地,東急ステイ築地,"2名税込12,798円〜",評価なし,https://www.ikyu.com/00081486/?discsort=1&lc=1&ppc=2&rc=1&st=1
ミレニアム 三井ガーデンホテル 東京,東京都・銀座,"2名税込39,326円〜",歌舞伎座に代表される日本文化の伝統と、西洋文化の先進性が融合してきた街、銀座。「ミレニアム 三井ガーデンホテル 東京」は、中心地である銀座４丁目交差点至近に位置し、東京観光の拠点として最適なロケーションです。,https://www.ikyu.com/00002059/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルウィングインターナショナルプレミアム東京四谷,ホテルウィングインターナショナルプレミアム東京四谷,"2名税込13,255円〜",お客様おひとりおひとりのニーズに合わせたやすらぎの空間をご用意いたします。東京メトロ四谷三丁目駅より徒歩約1分。新宿より電車で5分。東京の中心部に位置し、ビジネスや観光の拠点としてご利用いただけます。お部屋は自然と採光に恵まれ、ビジネス、レジャー、いずれの目的でご滞在されるお客様にも、洗練されたモダンシティーライフを堪能していただける空間をご用意しております。安らぎを感じさせる木のぬくもり、暖かな灯りに包まれて、心ゆくまでおくつろぎください。,https://www.ikyu.com/00080968/?discsort=1&lc=1&ppc=2&rc=1&st=1
YUURO Bath-Living Hotel Ryogoku,YUURO Bath-Living Hotel Ryogoku,"2名税込47,952円〜",評価なし,https://www.ikyu.com/00052015/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルグレイスリー新宿,ホテルグレイスリー新宿,"2名税込20,972円〜",評価なし,https://www.ikyu.com/00080998/?discsort=1&lc=1&ppc=2&rc=1&st=1
ザ ロイヤルパークキャンバス 銀座コリドー,東京都・中央区銀座,"2名税込31,590円〜",評価なし,https://www.ikyu.com/00003002/?discsort=1&lc=1&ppc=2&rc=1&st=1
THE skM TOKYO HOTEL&DINING 東京錦糸町,東京都・墨田区,"朝食付2名税込24,192円〜",評価なし,https://www.ikyu.com/00002945/?discsort=1&lc=1&ppc=2&rc=1&st=1
京急EXイン 羽田イノベーションシティ,京急EXイン 羽田イノベーションシティ,"2名税込8,280円〜",JR山手線「巣鴨駅」徒歩2分、都営三田線A4出口目の前！新宿・池袋・上野・東京など、山手線沿いで都心主要駅へ乗り換えなし！地下鉄都営三田線で東京ドーム、大手町、日比谷方面へもスムーズにアクセスできる最高の立地！静かで治安が良く安心して過ごせる街「巣鴨（すがも）」のランドマークホテルです！ビジネス・東京観光の拠点として、50型液晶テレビやアパホテルオリジナルベッド「Cloud Fit」等々、高品質・高機能を備えたお部屋と最上階の露天風呂付大浴殿でごゆっくりお過ごしください！,https://www.ikyu.com/00082066/?discsort=1&lc=1&ppc=2&rc=1&st=1
銀座クレストン,東京都・築地,"2名税込20,680円〜",評価なし,https://www.ikyu.com/00000449/?discsort=1&lc=1&ppc=2&rc=1&st=1
静鉄ホテルプレジオ東京田町,静鉄ホテルプレジオ東京田町,"2名税込14,970円〜",JR「田町」駅より徒歩5分、地下鉄「三田駅」より徒歩7分の好立地。品川駅や東京駅、羽田空港へもアクセスが便利で、ビジネス・観光拠点に最適なホテルです。客室は、全室洗い場付きのバスルームを完備し、機能的なデスクやシモンズ社製のベッドをご用意しております。ご滞在中はやすらぎのひとときをお過ごしください。朝食会場は、解放的な運河の景色を眺めながら「ちょっと贅沢な朝食」をコンセプトに、ライブキッチンでできたてのオムレツやフレンチトーストをお楽しみください。,https://www.ikyu.com/00081924/?discsort=1&lc=1&ppc=2&rc=1&st=1
アパホテル〈新宿御苑前〉,アパホテル〈新宿御苑前〉,"2名税込11,160円〜",評価なし,https://www.ikyu.com/00080940/?discsort=1&lc=1&ppc=2&rc=1&st=1
三井ガーデンホテル六本木プレミア,東京都・六本木駅より徒歩5分,"2名税込32,871円〜",評価なし,https://www.ikyu.com/00002708/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルグレイスリー浅草,ホテルグレイスリー浅草,"2名税込16,680円〜",ホテルは雷門から徒歩約2～3分に位置し、都営浅草線浅草駅にも徒歩約3分と国内外のお客様の観光・レジャーの拠点として最適な立地です。ダブルルーム約18平米、ツインルーム約24平米の客室は全室禁煙、独立バスルーム完備でご自宅のようにゆったりとお寛ぎいただけます。コインランドリーやセルフチェックイン機、宿泊者ラウンジなどの設備も充実。皆様により快適な滞在をご提供いたします。,https://www.ikyu.com/00081580/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルバーグランティオス別邸,ホテルバーグランティオス別邸,"2名税込10,780円〜",評価なし,https://www.ikyu.com/00081288/?discsort=1&lc=1&ppc=2&rc=1&st=1
伝馬の湯 ドーミーインPREMIUM東京小伝馬町,伝馬の湯 ドーミーインPREMIUM東京小伝馬町,"2名税込14,210円〜",東京都内のドーミーインでは2棟目のPREMIUMブランドがオープン。江戸文化の「粋」を随所に感じ取れる和モダンのデザインで、ビジネスにも観光にも適した多彩な客室タイプがございます。東京メトロ日比谷線「小伝馬町駅」3番出口から徒歩1分の好アクセス！東京駅へも、ホテルから徒歩約5分のJR総武快速線「新日本橋駅」から乗車1駅2分です。コンビニも至近にあり東京の拠点として最適です。ドーミーイン安心の超軟水大浴場と夜鳴きそば、朝食は約50種の和洋バイキングを揃えて、快適なご滞在をお約束いたします。,https://www.ikyu.com/00081211/?discsort=1&lc=1&ppc=2&rc=1&st=1
東武ホテルレバント東京,東京都・錦糸町,"2名税込14,880円〜",東京スカイツリー®まで1.5kmのオフィシャルホテル。東京スカイツリーを間近に望む絶景が魅力。東京ディズニーリゾート®のグットネイバーホテルなので宿泊者専用無料シャトルバスが毎日運行。錦糸町駅から徒歩3分、エアポートリムジンバスが羽田・成田両空港より乗り入れており、東京観光の拠点に便利です。,https://www.ikyu.com/00000172/?discsort=1&lc=1&ppc=2&rc=1&st=1
天然温泉 凌天の湯 御宿 野乃浅草別邸（ドーミーインチェーン）,天然温泉 凌天の湯 御宿 野乃浅草別邸（ドーミーインチェーン）,"2名税込17,150円〜",全館畳敷きの和風プレミアムホテル「御宿 野乃」ブランドとして、浅草エリア3店舗目が2024年1月16日にオープンいたします。つくば エクスプレス「浅草」駅 A1 出口(EV 有り)より徒歩約 4 分の好立地で、「浅草寺」や「花やしき」が目と鼻の先の距離にあり、観光の拠点としてご利用いただけます。観光ニーズにお応えするため、ファミリー向け客室を多くご用意しています。大浴場は、黒色で肌触りのよい“黒湯”の天然温泉を完備し、高温サウナ(セルフロウリュ)と 90cmの深さがある強冷水風呂、外気浴スペースもご用意しています。また、日本文化を感じられる日本画が施され、江戸時代にタイムスリップしたような気分を味わいながら湯浴みを楽しむことができます。お風呂あがりには、朝食は、旬の食材を使った小鉢横丁やご当地料理はもちろんのこと、約50 種類の和洋バイキングをごご用意しております。お夜食には、ドーミーイン名物のあっさり醤油ラーメン「夜鳴きそば」も無料でご用意しています。,https://www.ikyu.com/00082554/?discsort=1&lc=1&ppc=2&rc=1&st=1
ドーミーインPremium銀座,ドーミーインPremium銀座,"2名税込21,865円〜",評価なし,https://www.ikyu.com/00081905/?discsort=1&lc=1&ppc=2&rc=1&st=1
西鉄イン日本橋（人形町）,西鉄イン日本橋（人形町）,"2名税込10,062円〜",評価なし,https://www.ikyu.com/00080228/?discsort=1&lc=1&ppc=2&rc=1&st=1
リッチモンドホテル東京芝,リッチモンドホテル東京芝,"2名税込13,050円〜",評価なし,https://www.ikyu.com/00080059/?discsort=1&lc=1&ppc=2&rc=1&st=1
ザ ロイヤルパーク キャンバス 銀座８,ザ ロイヤルパーク キャンバス 銀座８,"2名税込27,212円〜",評価なし,https://www.ikyu.com/00081772/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテル日航立川 東京,東京都・立川,"2名税込8,921円〜",評価なし,https://www.ikyu.com/00002207/?discsort=1&lc=1&ppc=2&rc=1&st=1
アパホテル〈水道橋駅前〉,アパホテル〈水道橋駅前〉,"2名税込9,180円〜",評価なし,https://www.ikyu.com/00082696/?discsort=1&lc=1&ppc=2&rc=1&st=1
ダイワロイネットホテル新橋,ダイワロイネットホテル新橋,"2名税込13,034円〜",JR新橋駅「日比谷口」より徒歩3分。ビジネス・観光の拠点としてご利用いただける立地。夜は近隣に多くの飲食店があり、好みのお店探しも楽しみのひとつに！,https://www.ikyu.com/00081783/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテル東京ガーデンパレス,ホテル東京ガーデンパレス,"2名税込12,740円〜",評価なし,https://www.ikyu.com/00081428/?discsort=1&lc=1&ppc=2&rc=1&st=1
目黒ホリックホテル（旧ホテルレオン目黒）（2020年3月16日リブランドオー プン）,目黒ホリックホテル（旧ホテルレオン目黒）（2020年3月16日リブランドオー プン）,"2名税込16,070円〜",全室無料WiFi完備で観光やビジネスの拠点に最適。落ち着きと居心地の良さを兼ね備えた空間でくつろぎのひとときを。,https://www.ikyu.com/00081922/?discsort=1&lc=1&ppc=2&rc=1&st=1
アパホテル〈巣鴨駅前〉,アパホテル〈巣鴨駅前〉,"2名税込8,280円〜",JR山手線「巣鴨駅」徒歩2分、都営三田線A4出口目の前！新宿・池袋・上野・東京など、山手線沿いで都心主要駅へ乗り換えなし！地下鉄都営三田線で東京ドーム、大手町、日比谷方面へもスムーズにアクセスできる最高の立地！静かで治安が良く安心して過ごせる街「巣鴨（すがも）」のランドマークホテルです！ビジネス・東京観光の拠点として、50型液晶テレビやアパホテルオリジナルベッド「Cloud Fit」等々、高品質・高機能を備えたお部屋と最上階の露天風呂付大浴殿でごゆっくりお過ごしください！,https://www.ikyu.com/00081147/?discsort=1&lc=1&ppc=2&rc=1&st=1
新宿グランベルホテル,新宿グランベルホテル,"2名税込14,351円〜",恵比寿駅西口より徒歩5分！東京へのご旅行やビジネスの拠点に最適！VOD見放題＆バスソルトやアイマスクなどアメニティ取り放題。まだ知らない恵比寿に出会う、快適空間でくつろぎのひとときを！,https://www.ikyu.com/00080934/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルリソル池袋,ホテルリソル池袋,"2名税込9,234円〜",評価なし,https://www.ikyu.com/00080809/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルエミシア東京立川,ホテルエミシア東京立川,"2名税込9,800円〜",本館5階〜10階　124室、タワー館2階〜17階　127室、合計251室とエリア最大規模の客室数となっており、様々なタイプのお部屋をご用意しております。JR立川駅北口から徒歩2分というロケーションのため、立川を拠点にビジネスから観光まで幅広くご利用頂けます。都会の喧騒から離れた静けさと、落ち着いたインテリアの空間で、特別なひと時がお過ごしくださいませ。,https://www.ikyu.com/00082116/?discsort=1&lc=1&ppc=2&rc=1&st=1
天然温泉　豊穣の湯　ドーミーイン池袋,天然温泉　豊穣の湯　ドーミーイン池袋,"2名税込12,740円〜",評価なし,https://www.ikyu.com/00082173/?discsort=1&lc=1&ppc=2&rc=1&st=1
京成リッチモンドホテル東京押上,京成リッチモンドホテル東京押上,"2名税込12,052円〜",評価なし,https://www.ikyu.com/00082345/?discsort=1&lc=1&ppc=2&rc=1&st=1
三井ガーデンホテル銀座五丁目,三井ガーデンホテル銀座五丁目,"2名税込25,524円〜",東京メトロ・都営地下鉄「東銀座」駅徒歩1分、銀座・中央通りが近く、特に観光・レジャーの活動拠点として大変便利な立地。落ち着いた雰囲気の中にも、日本の伝統的な艶やかさ、煌びやかさを感じられるデザインを取り入れており、館内には伝統工芸・文化をモダンにアレンジしたアートを配し「江戸の粋」を随所に感じられる空間で皆様をお迎えいたします。ホテル2階には銀座の喧騒とは一線を画すゆったりとした宿泊者専用大浴場をご用意しており、一日の疲れをゆっくりと癒し、リフレッシュしていただけます。,https://www.ikyu.com/00081712/?discsort=1&lc=1&ppc=2&rc=1&st=1
新宿ワシントンホテル（本館）,新宿ワシントンホテル（本館）,"2名税込14,210円〜",アクセス抜群でビジネス・観光の拠点に最適です。新宿駅南口から地下道直結で徒歩約8分。羽田空港、成田空港からホテルまでの直通リムジンバスもございます。館内には充実したレストランやコンビニ、コインランドリーがあり出張や長期宿泊にも便利です。,https://www.ikyu.com/00080292/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルトラスティ　東京ベイサイド,東京都・国際展示場駅,"2名税込10,780円〜",評価なし,https://www.ikyu.com/00001417/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルマイステイズ立川,ホテルマイステイズ立川,"2名税込7,190円〜",評価なし,https://www.ikyu.com/00081193/?discsort=1&lc=1&ppc=2&rc=1&st=1
ザ・スクエアホテル銀座,ザ・スクエアホテル銀座,"2名税込18,620円〜",評価なし,https://www.ikyu.com/00081654/?discsort=1&lc=1&ppc=2&rc=1&st=1
東急ステイ銀座,東急ステイ銀座,"2名税込22,184円〜",銀座は言わずと知れた名所が点在し、有名百貨店や高級ブランド店、様々なジャンルの飲食店が立ち並び多くの人を魅了し続ける大人の街。東急ステイ銀座は「銀座駅」A7出口より徒歩3分、「東銀座駅」A2出口より徒歩1分。銀座と築地市場の両方が徒歩圏内で楽しめ、ビシネスや観光など幅広い宿泊ニーズに応えられる立地となっております。,https://www.ikyu.com/00081487/?discsort=1&lc=1&ppc=2&rc=1&st=1
KOKO HOTEL Premier 日本橋浜町,KOKO HOTEL Premier 日本橋浜町,"2名税込13,034円〜",浜町駅から徒歩約1分、新たな東京発見の旅の拠点に最適なホテル,https://www.ikyu.com/00082429/?discsort=1&lc=1&ppc=2&rc=1&st=1
全国町村会館（帝国ホテルグループ）,全国町村会館（帝国ホテルグループ）,"2名税込17,248円〜",評価なし,https://www.ikyu.com/00082460/?discsort=1&lc=1&ppc=2&rc=1&st=1
ヒルトン東京,東京都・新宿西口,ポイント2%（704円分）獲得,評価なし,https://www.ikyu.com/00000029/?discsort=1&lc=1&ppc=2&rc=1&st=1
JR東日本ホテルメッツ 高円寺,JR東日本ホテルメッツ 高円寺,新宿まで電車で約7分！東京観光・ビジネス滞在に便利な高円寺駅直結ホテル,評価なし,https://www.ikyu.com/00080604/?discsort=1&lc=1&ppc=2&rc=1&st=1
相鉄グランドフレッサ 東京ベイ有明,相鉄グランドフレッサ 東京ベイ有明,"2名税込11,440円〜",りんかい線国際展示場駅、ゆりかもめ東京ビッグサイト駅より徒歩3分。東京ビッグサイトまで徒歩5分、お台場までも徒歩圏内でビジネスやレジャーの拠点に便利な立地です。東京ディズニーリゾート(R)グッドネイバーホテルであり、両パークまではグッドネイバーホテル・シャトルバスがご宿泊の方限定の無料サービスとして往復で運行中。羽田空港、成田空港までのリムジンバスもございます。館内にはレストランやカフェをはじめ、24時間営業のコンビニエンスストア、コインランドリー、電子レンジと充実の設備。豊富なフリーアメニティ、24時間対応のフロント、館内無料Wi-fi、非接触型のICカードキー等を備え、安心かつ快適にお過ごしいただけます。17階以上のプレミアムフロアのお部屋は、全室バス・トイレ別/電子レンジ完備でワンランク上のホテルステイを味わえます。,https://www.ikyu.com/00080265/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルローズガーデン新宿,ホテルローズガーデン新宿,"2名税込15,272円〜",評価なし,https://www.ikyu.com/00081678/?discsort=1&lc=1&ppc=2&rc=1&st=1
恵比寿ホリックホテル,恵比寿ホリックホテル,"2名税込26,906円〜",恵比寿駅西口より徒歩5分！東京へのご旅行やビジネスの拠点に最適！VOD見放題＆バスソルトやアイマスクなどアメニティ取り放題。まだ知らない恵比寿に出会う、快適空間でくつろぎのひとときを！,https://www.ikyu.com/00081601/?discsort=1&lc=1&ppc=2&rc=1&st=1
京急EXホテル高輪（2026年2月27日リニューアルオープン）,京急EXホテル高輪（2026年2月27日リニューアルオープン）,"2名税込14,994円〜",評価なし,https://www.ikyu.com/00080772/?discsort=1&lc=1&ppc=2&rc=1&st=1
DEL style 池袋東口 by Daiwa Roynet Hotel,DEL style 池袋東口 by Daiwa Roynet Hotel,"2名税込14,351円〜",評価なし,https://www.ikyu.com/00082164/?discsort=1&lc=1&ppc=2&rc=1&st=1
京急EXイン浜松町・大門駅前,京急EXイン浜松町・大門駅前,"2名税込7,836円〜",ホテル周辺には和洋中の幅広い飲食店が立ち並び、百貨店の伊勢丹、マルイ、映画館、老舗の寄席である新宿末廣亭や新宿御苑もすぐそばに。先進性と古い文化が交差する新宿三丁目なら、大人のグルメ・ショッピング・観光も楽しめ、ビジネスの拠点としても最適です。シンプルでありながら落ち着きのある雰囲気で、長期滞在でも「いつものように」「自分らしく」過ごして頂けるようなサービスをご提供致します。,https://www.ikyu.com/00081674/?discsort=1&lc=1&ppc=2&rc=1&st=1
クインテッサホテル東京羽田 Comic&Books,クインテッサホテル東京羽田 Comic&Books,"2名税込7,695円〜",評価なし,https://www.ikyu.com/00081456/?discsort=1&lc=1&ppc=2&rc=1&st=1
京急EXイン京急蒲田駅前,京急EXイン京急蒲田駅前,"2名税込7,296円〜",評価なし,https://www.ikyu.com/00082410/?discsort=1&lc=1&ppc=2&rc=1&st=1
JR東日本ホテルメッツ 立川,JR東日本ホテルメッツ 立川,"2名税込10,682円〜",評価なし,https://www.ikyu.com/00080608/?discsort=1&lc=1&ppc=2&rc=1&st=1
新宿ワシントンホテル ANNEX（別館）,新宿ワシントンホテル ANNEX（別館）,"2名税込14,308円〜",アクセス抜群でビジネス・観光の拠点に最適です。新宿駅南口から地下道直結で徒歩約8分。羽田空港、成田空港からホテルまでの直通リムジンバスもございます。館内には充実したレストランやコンビニ、コインランドリーがあり出張や長期宿泊にも便利です。,https://www.ikyu.com/00080291/?discsort=1&lc=1&ppc=2&rc=1&st=1
ザ・ライブリー東京麻布十番（THE LIVELY 東京麻布十番）,東京都・大江戸線　麻布十番駅より徒歩3分,"2名税込23,410円〜",評価なし,https://www.ikyu.com/00002712/?discsort=1&lc=1&ppc=2&rc=1&st=1
東急ステイ水道橋,東急ステイ水道橋,"2名税込12,624円〜",評価なし,https://www.ikyu.com/00081484/?discsort=1&lc=1&ppc=2&rc=1&st=1
吉祥寺東急REIホテル,吉祥寺東急REIホテル,"2名税込14,308円〜",吉祥寺東急REIホテルは、「吉祥寺駅」から徒歩1分と最高のロケーション。都心からのアクセスも抜群なので「東京観光」の拠点としても最適！●井の頭恩賜公園・・・・・・・徒歩3分●三鷹の森ジブリ美術館・・・・徒歩17分●神代植物公園・深大寺・・・・吉祥寺駅よりバス25分■新宿まで・・・・・・・・・・JR吉祥寺駅より中央線で15分■渋谷まで・・・・・・・・・・京王井の頭線「吉祥寺駅」より急行で16分■東京駅まで・・・・・・・・・JR吉祥寺駅より中央線で30分○東京ディズニーリゾート®・・吉祥寺駅よりJR利用で「舞浜駅」下車約60分○お台場・・・・・・・・・・・吉祥寺駅より京王井の頭線・地下鉄等乗り継いで「東京テレポート駅」下車約50分○東京タワー・・・・・・・・・吉祥寺駅よりJR・地下鉄等乗り継いで「赤羽橋駅」下車約40分,https://www.ikyu.com/00080884/?discsort=1&lc=1&ppc=2&rc=1&st=1
コートヤード・バイ・マリオット 東京ステーション,東京都・京橋駅隣接・東京駅 徒歩約4分,ポイント2%（846円分）獲得,評価なし,https://www.ikyu.com/00001982/?discsort=1&lc=1&ppc=2&rc=1&st=1
東急ステイ用賀,東急ステイ用賀,"2名税込13,014円〜",評価なし,https://www.ikyu.com/00081499/?discsort=1&lc=1&ppc=2&rc=1&st=1
ロワジールホテル品川シーサイド,ロワジールホテル品川シーサイド,"2名税込9,500円〜",評価なし,https://www.ikyu.com/00082378/?discsort=1&lc=1&ppc=2&rc=1&st=1
JR東日本ホテルメッツ 国分寺,JR東日本ホテルメッツ 国分寺,"2名税込9,212円〜",評価なし,https://www.ikyu.com/00080606/?discsort=1&lc=1&ppc=2&rc=1&st=1
アパホテル〈新宿 歌舞伎町タワー〉,アパホテル〈新宿 歌舞伎町タワー〉,"2名税込10,625円〜",評価なし,https://www.ikyu.com/00081041/?discsort=1&lc=1&ppc=2&rc=1&st=1
ヴィラフォンテーヌ東京日本橋三越前｜住友不動産,ヴィラフォンテーヌ東京日本橋三越前｜住友不動産,"2名税込9,510円〜",評価なし,https://www.ikyu.com/00080630/?discsort=1&lc=1&ppc=2&rc=1&st=1
ダブルツリーbyヒルトン東京有明,東京都・江東区,ポイント2%（374円分）獲得,評価なし,https://www.ikyu.com/00003298/?discsort=1&lc=1&ppc=2&rc=1&st=1
the b 赤坂見附,the b 赤坂見附,"2名税込12,555円〜",評価なし,https://www.ikyu.com/00080512/?discsort=1&lc=1&ppc=2&rc=1&st=1
JR東日本ホテルメッツ 駒込,JR東日本ホテルメッツ 駒込,"2名税込9,702円〜",JR山手線、地下鉄南北線駒込駅徒歩1分の好立地。都心にある閑静な街～駒込～。ビジネス、観光の拠点として恵まれたロケーション。窓面のワイドデスクは、広々スペース。ベッドはシモンズ社ポケットコイルマットレス。お好きなタイミングで様々な映画が楽しめるVOD。更に足を伸ばせる大きなバスタブ＆個別空調で身も心もリラックスできます。～駅への距離も快適のひとつです～～駅と明日をつなぐ夜～ホテルメッツ駒込でお待ちしております。,https://www.ikyu.com/00080603/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルマイステイズ御茶ノ水 コンファレンスセンター,ホテルマイステイズ御茶ノ水 コンファレンスセンター,"2名税込8,624円〜",評価なし,https://www.ikyu.com/00080271/?discsort=1&lc=1&ppc=2&rc=1&st=1
東急ステイ新宿,東急ステイ新宿,"2名税込20,856円〜",ホテル周辺には和洋中の幅広い飲食店が立ち並び、百貨店の伊勢丹、マルイ、映画館、老舗の寄席である新宿末廣亭や新宿御苑もすぐそばに。先進性と古い文化が交差する新宿三丁目なら、大人のグルメ・ショッピング・観光も楽しめ、ビジネスの拠点としても最適です。シンプルでありながら落ち着きのある雰囲気で、長期滞在でも「いつものように」「自分らしく」過ごして頂けるようなサービスをご提供致します。,https://www.ikyu.com/00081489/?discsort=1&lc=1&ppc=2&rc=1&st=1
Tマークシティホテル東京大森,Tマークシティホテル東京大森,"2名税込7,836円〜",評価なし,https://www.ikyu.com/00081527/?discsort=1&lc=1&ppc=2&rc=1&st=1
ドーミーインPREMIUM渋谷神宮前,ドーミーインPREMIUM渋谷神宮前,"2名税込16,125円〜",東京駅より徒歩15分。メトロ八丁堀駅から徒歩1分、JR八丁堀駅より徒歩4分。メトロ茅場町より徒歩5分。TDRや東京スカイツリー®、浅草のご観光にも利便性の良い立地で東京ステイの拠点に新しい贅沢空間をお届け。贅沢な空間とは、快適のひとつに過ぎません。都心でくつろげる、広い部屋と落ち着いた空間。全部屋24㎡以上のゆとりある客室。快適な眠りを追求したサータ社ベッドをご用意いたしました。ベッド1台の部屋からベッド3台のお部屋まで、ビジネスでもレジャーでも「疲れを癒せる」環境をご提供。出張の際はもちろん、ご家族での旅行にもご利用下さい。,https://www.ikyu.com/00080854/?discsort=1&lc=1&ppc=2&rc=1&st=1
